Dominant_Topic,Topic_Perc_Contrib,Keywords
18,0.7958818674087524,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
19,0.42387378215789795,"loan,interest,company,asset,financial,loss,security,value,rate,year"
16,0.28391963243484497,"value,asset,financial,loss,interest,security,investment,note,credit,fair"
8,0.7585447430610657,"company,property,interest,year,income,share,financial,lease,include,net"
0,0.969641387462616,"company,financial,bank,may,loan,report,capital,institution,include,risk"
0,0.9998655915260315,"company,financial,bank,may,loan,report,capital,institution,include,risk"
19,0.5173152089118958,"loan,interest,company,asset,financial,loss,security,value,rate,year"
12,0.8197752833366394,"property,may,interest,share,year,income,investment,value,rate,real"
13,0.5039693117141724,"loan,financial,interest,income,value,security,asset,loss,rate,net"
0,0.8423256874084473,"company,financial,bank,may,loan,report,capital,institution,include,risk"
8,0.9186667203903198,"company,property,interest,year,income,share,financial,lease,include,net"
8,0.7907812595367432,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.6633189916610718,"loan,interest,company,asset,financial,loss,security,value,rate,year"
3,0.5382555723190308,"company,loan,interest,financial,note,share,statement,agreement,real,director"
10,0.7951854467391968,"loan,credit,value,loss,interest,asset,include,rate,net,income"
4,0.9385908842086792,"company,financial,year,stock,service,revenue,include,market,may,business"
12,0.846464991569519,"property,may,interest,share,year,income,investment,value,rate,real"
0,0.9998368620872498,"company,financial,bank,may,loan,report,capital,institution,include,risk"
19,0.5790475010871887,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.5427711606025696,"loan,interest,company,asset,financial,loss,security,value,rate,year"
8,0.9014633893966675,"company,property,interest,year,income,share,financial,lease,include,net"
13,0.7908935546875,"loan,financial,interest,income,value,security,asset,loss,rate,net"
4,0.47824230790138245,"company,financial,year,stock,service,revenue,include,market,may,business"
8,0.5946370959281921,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.8640889525413513,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.6773519515991211,"loan,interest,company,asset,financial,loss,security,value,rate,year"
4,0.7718309760093689,"company,financial,year,stock,service,revenue,include,market,may,business"
18,0.8691765666007996,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
6,0.5198847651481628,"merchant,sale,year,stock,share,company,financial,cost,may,include"
4,0.41946372389793396,"company,financial,year,stock,service,revenue,include,market,may,business"
19,0.8214437365531921,"loan,interest,company,asset,financial,loss,security,value,rate,year"
4,0.3394235074520111,"company,financial,year,stock,service,revenue,include,market,may,business"
19,0.6968792676925659,"loan,interest,company,asset,financial,loss,security,value,rate,year"
13,0.3667249381542206,"loan,financial,interest,income,value,security,asset,loss,rate,net"
2,0.730760931968689,"company,investment,value,security,insurance,financial,income,loss,benefit,asset"
19,0.480983167886734,"loan,interest,company,asset,financial,loss,security,value,rate,year"
14,0.5390278100967407,"credit,financial,year,cash,company,interest,income,sale,end,loan"
19,0.646476686000824,"loan,interest,company,asset,financial,loss,security,value,rate,year"
